key,lang,value
cancel_omra,ar,الخروج من العمرة
cancel_omra,en,Exit Umrah
cancel_omra,fr,Quitter la Omra
cancel_omra,id,Keluar dari Umrah
cancel_omra,kk,Умрадан шығу
cancel_omra,ms,Keluar dari Umrah
cancel_omra,ru,Выйти из умры
cancel_omra,tr,Umreden çık
cancel_omra,uz,O‘mrani tark etish
close_button,ar,إغلاق
close_button,en,Close
close_button,fr,Fermer
close_button,id,Tutup
close_button,kk,Жабу
close_button,ms,Tutup
close_button,ru,Закрыть
close_button,tr,Kapat
close_button,uz,Yopish
complete_btn,ar,تم
complete_btn,en,DONE
complete_btn,fr,TERMINÉ
complete_btn,id,SELESAI
complete_btn,kk,ДАЙЫН
complete_btn,ms,SELESAI
complete_btn,ru,ГОТОВО
complete_btn,tr,TAMAM
complete_btn,uz,TAYYOR
continue_btn,ar,متابعة
continue_btn,en,CONTINUE
continue_btn,fr,CONTINUER
continue_btn,id,LANJUTKAN
continue_btn,kk,ЖАЛҒАСТЫРУ
continue_btn,ms,TERUSKAN
continue_btn,ru,ПРОДОЛЖИТЬ
continue_btn,tr,DEVAM ET
continue_btn,uz,DAVOM ETISH
end_text,ar,العمرة مقبولة إن شاء الله. الخطوة الأخيرة — التحلل (الختام)
end_text,en,"Umrah is accepted, inshaAllah. Final step — tahallul (completion)"
end_text,fr,"Omra acceptée, inshaAllah. Dernière étape — tahallul (achèvement)"
end_text,id,"Umrah diterima, insyaAllah. Langkah terakhir — tahallul (penyelesaian)"
end_text,kk,"Умра қабыл болды, иншаАлла. Соңғы қадам — тахаллул (аяқтау)"
end_text,ms,"Umrah diterima, insyaAllah. Langkah terakhir — tahallul (penyempurnaan)"
end_text,ru,"Умра принята, иншаАллах. Последний шаг — тахаллул (завершение)"
end_text,tr,"Umre kabul oldu, inşallah. Son adım — tahallul (tamamlanma)"
end_text,uz,"Umra qabul bo‘ldi, inshaAlloh. So‘nggi qadam — tahallul (yakunlash)"
end_text1,ar,على الرجال حلق الرأس كاملًا أو تقصير الشعر
end_text1,en,Men should shave their head completely or trim their hair short
end_text1,fr,Les hommes doivent se raser complètement la tête ou raccourcir les cheveux
end_text1,id,Pria mencukur habis kepala atau memendekkan rambut
end_text1,kk,Ерлер басын толық қырып немесе шашын қысқартуы керек
end_text1,ms,Lelaki hendaklah mencukur kepala sepenuhnya atau memendekkan rambut
end_text1,ru,Мужчинам побрить голову полностью или подстричь волосы коротко
end_text1,tr,Erkekler başlarını tamamen tıraş etmeli veya saçlarını kısaltmalıdır
end_text1,uz,Erkaklar boshni to‘liq qirib tashlashi yoki sochni qisqartirishi kerak
end_text3,ar,بعد ذلك تكتمل العمرة تمامًا وتُطهَّرون من الذنوب كالمولود الجديد
end_text3,en,"After this, Umrah is fully complete and you are cleansed of sins like a newborn"
end_text3,fr,"Après cela, la Omra est totalement achevée et vous êtes purifié des péchés comme un nouveau-né"
end_text3,id,"Setelah itu umrah sepenuhnya selesai, Anda bersih dari dosa seperti bayi yang baru lahir"
end_text3,kk,"Осыдан кейін умра толық аяқталады, сіз жаңа туғандай күнәлардан тазарасыз"
end_text3,ms,"Selepas itu umrah selesai sepenuhnya, anda dibersihkan daripada dosa seperti bayi yang baru lahir"
end_text3,ru,"После этого умра полностью завершена, вы очищены от грехов как новорожденный"
end_text3,tr,"Bu aşamadan sonra umre tamamen tamamlanır, yeni doğmuş gibi günahlardan arınırsınız"
end_text3,uz,"Shundan so‘ng umra to‘liq yakunlanadi, siz yangi tug‘ilgandek gunohlardan pok bo‘lasiz"
home_3_btn,ar,الحياة بعد العمرة
home_3_btn,en,Life After Umrah
home_3_btn,fr,Vie après la Omra
home_3_btn,id,Kehidupan Setelah Umrah
home_3_btn,kk,Умрадан кейінгі өмір
home_3_btn,ms,Kehidupan Selepas Umrah
home_3_btn,ru,Жизнь После Умры
home_3_btn,tr,Umre Sonrası Hayat
home_3_btn,uz,Umradan keyingi hayot
home_3_btn_sub,ar,برنامج مبني على دراسات العمرة
home_3_btn_sub,en,Program based on Umrah research
home_3_btn_sub,fr,Programme basé sur des recherches sur la Omra
home_3_btn_sub,id,Program berbasis riset umrah
home_3_btn_sub,kk,Умра зерттеулеріне негізделген бағдарлама
home_3_btn_sub,ms,Program berasaskan kajian umrah
home_3_btn_sub,ru,Программа на основе исследований умры
home_3_btn_sub,tr,Umre araştırmalarına dayalı program
home_3_btn_sub,uz,Umra tadqiqotlari asosida tuzilgan dastur
home_3_btn2,ar,شهادة العمرة
home_3_btn2,en,Umrah Certificate
home_3_btn2,fr,Certificat de Omra
home_3_btn2,id,Sertifikat Umrah
home_3_btn2,kk,Умра сертификаты
home_3_btn2,ms,Sijil Umrah
home_3_btn2,ru,Сертификат Умры
home_3_btn2,tr,Umre Sertifikası
home_3_btn2,uz,Umra sertifikati
home_3_btn2_sub,ar,لقد أديتم العمرة
home_3_btn2_sub,en,You have completed the minor pilgrimage
home_3_btn2_sub,fr,Vous avez accompli le petit pèlerinage (Omra)
home_3_btn2_sub,id,Anda telah menunaikan umrah
home_3_btn2_sub,kk,Сіз кіші қажылықты орындадыңыз
home_3_btn2_sub,ms,Anda telah menunaikan umrah
home_3_btn2_sub,ru,Вы совершили малое паломничество
home_3_btn2_sub,tr,Umreyi tamamladınız
home_3_btn2_sub,uz,Siz kichik hajni ado qildingiz
home_3_btn3,ar,العمرة القادمة
home_3_btn3,en,Next Umrah
home_3_btn3,fr,Prochaine Omra
home_3_btn3,id,Umrah berikutnya
home_3_btn3,kk,Келесі умра
home_3_btn3,ms,Umrah seterusnya
home_3_btn3,ru,Следующая умра
home_3_btn3,tr,Bir sonraki umre
home_3_btn3,uz,Keyingi umra
home1_btn,ar,ابدأوا العمرة
home1_btn,en,Start Umrah
home1_btn,fr,Commencer la Omra
home1_btn,id,Memulai umrah
home1_btn,kk,Умраны бастау
home1_btn,ms,Memulakan umrah
home1_btn,ru,Начать умру
